iter	Passed	Remaining
193	1920	7981
194	1929	7964
195	1937	7948
196	1945	7931
197	1954	7915
198	1962	7897
199	1970	7880
200	1978	7863
201	1986	7848
202	1994	7831
203	2010	7845
204	2019	7829
205	2027	7814
206	2035	7798
207	2043	7779
208	2050	7762
209	2059	7747
210	2067	7731
211	2075	7715
212	2101	7763
213	2110	7751
214	2118	7734
215	2125	7715
216	2133	7699
217	2142	7685
218	2151	7671
219	2159	7656
220	2167	7639
221	2175	7623
222	2185	7615
223	2193	7598
224	2203	7590
225	2211	7575
226	2219	7559
227	2228	7545
228	2236	7528
229	2244	7514
230	2252	7499
231	2260	7483
232	2281	7509
233	2300	7532
234	2308	7516
235	2318	7505
236	2326	7490
237	2335	7478
238	2343	7462
239	2351	7447
240	2361	7436
241	2370	7425
242	2379	7411
243	2386	7394
244	2394	7379
245	2402	7365
246	2410	7347
247	2418	7332
248	2443	7370
249	2453	7359
250	2461	7345
251	2469	7331
252	2477	7315
253	2488	7307
254	2496	7292
255	2504	7277
256	2512	7264
257	2520	7248
258	2528	7232
259	2535	7216
260	2543	7201
261	2550	7185
262	2560	7173
263	2577	7184
264	2585	7170
265	2592	7155
266	2600	7139
267	2608	7124
268	2617	7112
269	2624	7094
270	2631	7078
271	2638	7062
272	2646	7048
273	2656	7038
274	2665	7026
275	2673	7011
276	2680	6997
277	2690	6986
278	2697	6970
279	2705	6956
280	2713	6942
281	2720	6926
282	2728	6913
283	2736	6898
284	2743	6883
285	2752	6872
286	2760	6857
287	2768	6844
288	2776	6830
289	2783	6815
290	2791	6801
291	2799	6787
292	2818	6801
293	2826	6788
294	2844	6797
295	2853	6787
296	2873	6802
297	2883	6792
298	2891	6778
299	2899	6764
300	2906	6749
301	2914	6735
302	2922	6722
303	2929	6706
304	2937	6693
305	2945	6679
306	2953	6666
307	2961	6652
308	2969	6639
309	2976	6625
310	2985	6613
311	2993	6600
312	3001	6587
313	3009	6573
314	3016	6559
315	3023	6545
316	3032	6533
317	3040	6520
318	3048	6508
319	3056	6495
320	3064	6481
321	3071	6467
322	3079	6454
323	3087	6441
324	3095	6429
325	3104	6418
326	3137	6458
327	3147	6448
328	3161	6447
329	3170	6437
330	3179	6426
331	3188	6414
332	3196	6402
333	3223	6427
334	3236	6425
335	3245	6413
336	3257	6408
337	3265	6395
338	3274	6383
339	3282	6372
340	3290	6358
341	3299	6348
342	3307	6335
343	3315	6322
344	3323	6309
345	3331	6297
346	3341	6287
347	3348	6274
348	3357	6262
349	3364	6248
350	3371	6234
351	3379	6221
352	3387	6208
353	3398	6201
354	3407	6190
355	3417	6181
356	3434	6185
357	3442	6173
358	3467	6190
359	3475	6177
360	3483	6165
361	3491	6153
362	3499	6141
363	3508	6129
364	3516	6117
365	3524	6105
366	3533	6093
367	3541	6082
368	3549	6069
369	3556	6055
370	3564	6042
371	3586	6055
372	3594	6042
373	3602	6029
374	3610	6016
375	3617	6003
376	3624	5989
377	3633	5978
378	3640	5964
379	3648	5952
380	3656	5940
381	3677	5950
382	3685	5937
383	3695	5928
384	3707	5921
385	3715	5909
386	3725	5900
387	3732	5888
388	3742	5878
389	3750	5865
390	3760	5856
391	3771	5849
392	3793	5858
393	3804	5851
394	3813	5840
395	3822	5829
396	3829	5816
397	3838	5806
398	3848	5796
399	3855	5783
400	3863	5771
401	3873	5761
402	3881	5749
403	3889	5737
404	3897	5725
405	3905	5713
406	3928	5723
407	3936	5711
408	3944	5699
409	3955	5691
410	3963	5679
411	3972	5669
412	3980	5657
413	3990	5648
414	3998	5636
415	4007	5625
416	4017	5616
417	4025	5605
418	4033	5593
419	4048	5590
420	4056	5578
421	4063	5566
422	4073	5556
423	4081	5544
424	4089	5532
425	4097	5521
426	4105	5509
427	4113	5497
428	4122	5487
429	4129	5474
430	4137	5462
431	4160	5470
432	4169	5459
433	4177	5447
434	4185	5436
435	4193	5424
436	4200	5412
437	4208	5399
438	4217	5390
439	4225	5377
440	4232	5365
441	4240	5353
442	4247	5340
443	4255	5329
444	4264	5318
445	4272	5307
446	4280	5295
447	4288	5283
448	4297	5273
449	4305	5262
450	4312	5250
451	4320	5238
452	4341	5242
453	4350	5231
454	4357	5219
455	4365	5208
456	4373	5197
457	4382	5185
458	4389	5174
459	4397	5162
460	4406	5151
461	4414	5140
462	4421	5128
463	4429	5116
464	4437	5104
465	4444	5092
466	4452	5081
467	4461	5071
468	4469	5060
469	4477	5048
470	4484	5036
471	4494	5027
472	4501	5015
473	4509	5004
474	4517	4992
475	4525	4981
476	4533	4970
477	4541	4959
478	4549	4948
479	4556	4936
480	4564	4925
481	4572	4913
482	4579	4902
483	4587	4890
484	4595	4879
485	4602	4868
486	4624	4871
487	4632	4860
488	4639	4848
489	4647	4837
490	4655	4826
491	4664	4815
492	4673	4806
493	4690	4804
494	4703	4798
495	4710	4786
496	4719	4776
497	4726	4764
498	4734	4753
499	4742	4742
500	4751	4732
501	4758	4720
502	4766	4709
503	4774	4698
504	4781	4687
505	4789	4675
506	4808	4675
507	4815	4664
508	4826	4655
509	4833	4644
510	4842	4633
511	4849	4622
512	4859	4612
513	4867	4601
514	4882	4598
515	4889	4586
516	4897	4575
517	4905	4564
518	4915	4555
519	4924	4545
520	4936	4538
521	4944	4527
522	4956	4520
523	4965	4510
524	4974	4500
525	4998	4503
526	5007	4494
527	5022	4490
528	5036	4484
529	5044	4473
530	5054	4464
531	5062	4453
532	5070	4443
533	5080	4433
534	5096	4429
535	5106	4420
536	5115	4410
537	5123	4400
538	5132	4389
539	5143	4381
540	5152	4371
541	5168	4367
542	5183	4362
543	5200	4359
544	5216	4354
545	5227	4347
546	5238	4338
547	5249	4330
548	5258	4319
549	5265	4308
550	5279	4302
551	5288	4292
552	5296	4281
553	5305	4271
554	5320	4266
555	5331	4257
556	5342	4249
557	5354	4241
558	5369	4236
559	5384	4230
560	5398	4224
561	5411	4217
562	5420	4207
563	5428	4196
564	5440	4188
565	5453	4181
566	5464	4172
567	5478	4166
568	5491	4159
569	5500	4149
570	5516	4144
571	5531	4138
572	5541	4129
573	5553	4121
574	5563	4112
575	5588	4113
576	5598	4104
577	5607	4093
578	5615	4082
579	5633	4079
580	5641	4068
581	5651	4059
582	5660	4048
583	5672	4040
584	5683	4032
585	5691	4020
586	5701	4011
587	5713	4003
588	5724	3994
589	5732	3983
590	5740	3972
591	5753	3965
592	5764	3956
593	5773	3945
594	5784	3937
595	5794	3927
596	5802	3917
597	5813	3908
598	5822	3897
599	5830	3886
600	5851	3884
601	5868	3880
602	5878	3869
603	5893	3863
604	5901	3852
605	5910	3842
606	5917	3831
607	5925	3820
608	5935	3810
609	5943	3799
610	5953	3790
611	5960	3779
612	5968	3767
613	5976	3757
614	5992	3751
615	6000	3740
616	6022	3738
617	6030	3727
618	6038	3716
619	6046	3706
620	6055	3695
621	6065	3686
622	6073	3675
623	6081	3664
624	6089	3653
625	6103	3646
626	6110	3635
627	6119	3624
628	6127	3614
629	6135	3603
630	6143	3592
631	6151	3581
632	6161	3572
633	6169	3561
634	6178	3551
635	6187	3541
636	6196	3530
637	6207	3522
638	6216	3511
639	6227	3502
640	6235	3492
641	6243	3481
642	6252	3471
643	6260	3460
644	6295	3464
645	6308	3457
646	6317	3446
647	6325	3436
648	6335	3426
649	6343	3415
650	6352	3405
651	6360	3395
652	6368	3384
653	6376	3373
654	6384	3362
655	6391	3351
656	6399	3340
657	6407	3330
658	6414	3318
659	6421	3308
660	6429	3297
661	6457	3297
662	6467	3287
663	6475	3276
664	6483	3266
665	6499	3259
666	6508	3249
667	6517	3239
668	6526	3229
669	6534	3218
670	6543	3208
671	6551	3197
672	6560	3187
673	6581	3183
674	6591	3173
675	6599	3163
676	6608	3152
677	6616	3142
678	6626	3132
679	6635	3122
680	6649	3114
681	6658	3104
682	6671	3096
683	6697	3094
684	6708	3084
685	6716	3074
686	6725	3064
687	6737	3055
688	6752	3047
689	6760	3037
690	6767	3026
691	6783	3019
692	6791	3008
693	6802	2999
694	6810	2988
695	6818	2978
696	6835	2971
697	6855	2965
698	6870	2958
699	6880	2948
700	6890	2939
701	6902	2930
702	6912	2920
703	6921	2910
704	6931	2900
705	6945	2892
706	6960	2884
707	6974	2876
708	6993	2870
709	7002	2860
710	7018	2852
711	7027	2842
712	7042	2834
713	7052	2824
714	7062	2815
715	7078	2807
716	7086	2797
717	7101	2789
718	7112	2779
719	7163	2785
720	7173	2775
721	7182	2765
722	7192	2755
723	7199	2744
724	7210	2734
725	7218	2724
726	7231	2715
727	7238	2704
728	7247	2694
729	7258	2684
730	7267	2674
731	7280	2665
732	7288	2654
733	7297	2644
734	7305	2634
735	7315	2624
736	7325	2614
737	7339	2605
738	7347	2595
739	7362	2586
740	7370	2576
741	7379	2565
742	7386	2555
743	7401	2546
744	7420	2539
745	7437	2532
746	7446	2522
747	7455	2511
748	7465	2501
749	7477	2492
750	7488	2482
751	7500	2473
752	7508	2462
753	7516	2452
754	7538	2446
755	7546	2435
756	7555	2425
757	7563	2414
758	7572	2404
759	7582	2394
760	7600	2386
761	7612	2377
762	7620	2367
763	7629	2356
764	7639	2346
765	7650	2336
766	7661	2327
767	7671	2317
768	7685	2308
769	7693	2298
770	7711	2290
771	7719	2279
772	7727	2269
773	7736	2258
774	7744	2248
775	7753	2237
776	7765	2228
777	7773	2218
778	7780	2207
779	7789	2197
780	7797	2186
781	7807	2176
782	7817	2166
783	7824	2155
784	7832	2145
785	7840	2134
786	7848	2124
787	7858	2114
788	7867	2103
789	7875	2093
790	7883	2082
791	7892	2072
792	7899	2062
793	7907	2051
794	7921	2042
795	7930	2032
796	7945	2023
797	7953	2013
798	7964	2003
799	7971	1992
800	7988	1984
801	7996	1974
802	8004	1963
803	8012	1953
804	8021	1943
805	8029	1932
806	8037	1922
807	8045	1911
808	8053	1901
809	8061	1891
810	8069	1880
811	8078	1870
812	8086	1859
813	8094	1849
814	8103	1839
815	8113	1829
816	8122	1819
817	8150	1813
818	8165	1804
819	8174	1794
820	8182	1784
821	8190	1773
822	8199	1763
823	8207	1753
824	8216	1742
825	8225	1732
826	8233	1722
827	8241	1712
828	8250	1701
829	8272	1694
830	8280	1684
831	8288	1673
832	8296	1663
833	8304	1652
834	8314	1643
835	8324	1633
836	8335	1623
837	8344	1613
838	8351	1602
839	8360	1592
840	8369	1582
841	8377	1572
842	8396	1563
843	8405	1553
844	8415	1543
845	8423	1533
846	8431	1522
847	8439	1512
848	8448	1502
849	8469	1494
850	8477	1484
851	8488	1474
852	8496	1464
853	8504	1453
854	8513	1443
855	8520	1433
856	8527	1422
857	8536	1412
858	8544	1402
859	8551	1392
860	8560	1381
861	8567	1371
862	8575	1361
863	8593	1352
864	8601	1342
865	8609	1332
866	8622	1322
867	8630	1312
868	8637	1302
869	8645	1291
870	8653	1281
871	8661	1271
872	8669	1261
873	8678	1251
874	8686	1240
875	8705	1232
876	8714	1222
877	8722	1212
878	8731	1201
879	8738	1191
880	8746	1181
881	8754	1171
882	8762	1161
883	8770	1150
884	8777	1140
885	8788	1130
886	8795	1120
887	8804	1110
888	8814	1100
889	8823	1090
890	8832	1080
891	8839	1070
892	8849	1060
893	8857	1050
894	8865	1040
895	8879	1030
896	8887	1020
897	8896	1010
898	8904	1000
899	8914	990
900	8922	980
901	8931	970
902	8940	960
903	8947	950
904	8955	940
905	8963	930
906	8976	920
907	8984	910
908	8993	900
909	9014	891
910	9023	881
911	9030	871
912	9038	861
913	9055	852
914	9062	841
915	9070	831
916	9078	821
917	9085	811
918	9093	801
919	9101	791
920	9109	781
921	9125	772
922	9134	762
923	9149	752
924	9157	742
925	9166	732
926	9175	722
927	9183	712
928	9191	702
929	9199	692
930	9208	682
931	9216	672
932	9224	662
933	9237	652
934	9249	643
935	9257	632
936	9264	622
937	9272	612
938	9280	602
939	9288	592
940	9296	582
941	9304	572
942	9312	562
943	9320	552
944	9329	542
945	9336	532
946	9345	523
947	9353	513
948	9371	503
949	9379	493
950	9394	484
951	9402	474
952	9420	464
953	9428	454
954	9436	444
955	9446	434
956	9453	424
957	9461	414
958	9469	404
959	9478	394
960	9488	385
961	9496	375
962	9504	365
963	9513	355
964	9532	345
965	9542	335
966	9550	325
967	9558	315
968	9566	306
969	9574	296
970	9584	286
971	9593	276
972	9611	266
973	9620	256
974	9628	246
975	9635	236
976	9645	227
977	9654	217
978	9661	207
979	9669	197
980	9679	187
981	9687	177
982	9695	167
983	9703	157
984	9711	147
985	9718	137
986	9729	128
987	9736	118
988	9758	108
989	9765	98
990	9774	88
991	9782	78
992	9790	69
993	9797	59
994	9805	49
995	9815	39
996	9824	29
997	9833	19
998	9841	9
999	9848	0
